""
"Comparison of State and Local Government Spending and Debt"
"in the United States"
"Fiscal Year 2019"
"Amounts in $ billion"
"State","State & Local Spending","","State & Local Debt","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","51.3","g","0.0","","231.0","a","2.3","a","4.9","e"
"Alaska","16.9","g","0.0","","55.4","a","2.5","a","0.7","e"
"Arizona","64.0","g","0.0","","366.2","a","3.1","a","7.3","e"
"Arkansas","27.9","g","0.0","","133.2","a","1.8","a","3.0","e"
"California","639.4","g","0.0","","3,137.5","a","2.6","a","39.5","e"
"Colorado","67.8","g","0.0","","390.3","a","3.5","a","5.8","e"
"Connecticut","42.7","g","0.0","","285.6","a","1.6","a","3.6","e"
"Delaware","12.4","g","0.0","","75.4","a","0.8","a","1.0","e"
"District of Columbia","19.6","g","0.0","","146.2","a","1.6","a","0.7","e"
"Florida","195.9","g","0.0","","1,093.4","a","2.8","a","21.5","e"
"Georgia","93.2","g","0.0","","616.3","a","2.0","a","10.6","e"
"Hawaii","18.2","g","0.0","","97.3","a","1.0","a","1.4","e"
"Idaho","14.9","g","0.0","","80.9","a","2.8","a","1.8","e"
"Illinois","155.9","g","0.0","","897.1","a","1.6","a","12.7","e"
"Indiana","62.1","g","0.0","","377.1","a","0.8","a","6.7","e"
"Iowa","37.8","g","0.0","","194.8","a","0.9","a","3.2","e"
"Kansas","31.0","g","0.0","","173.1","a","0.9","a","2.9","e"
"Kentucky","47.9","g","0.0","","214.7","a","1.1","a","4.5","e"
"Louisiana","50.6","g","0.0","","263.9","a","1.3","a","4.6","e"
"Maine","13.6","g","0.0","","67.5","a","1.9","a","1.3","e"
"Maryland","73.6","g","0.0","","428.3","a","1.5","a","6.0","e"
"Massachusetts","99.4","g","0.0","","595.6","a","2.5","a","6.9","e"
"Michigan","106.2","g","0.0","","541.6","a","0.7","a","10.0","e"
"Minnesota","75.5","g","0.0","","380.9","a","1.4","a","5.6","e"
"Mississippi","30.4","g","0.0","","118.8","a","1.3","a","3.0","e"
"Missouri","58.7","g","0.0","","332.1","a","2.1","a","6.1","e"
"Montana","11.4","g","0.0","","52.2","a","2.1","a","1.1","e"
"Nebraska","23.8","g","0.0","","127.0","a","0.6","a","1.9","e"
"Nevada","29.1","g","0.0","","177.6","a","2.9","a","3.1","e"
"New Hampshire","13.1","g","0.0","","88.6","a","2.7","a","1.4","e"
"New Jersey","112.7","g","0.0","","644.8","a","1.5","a","8.9","e"
"New Mexico","25.9","g","0.0","","104.0","a","3.7","a","2.1","e"
"New York","384.6","g","0.0","","1,731.9","a","1.8","a","19.5","e"
"North Carolina","100.7","g","0.0","","587.7","a","2.3","a","10.5","e"
"North Dakota","10.1","g","0.0","","57.0","a","2.3","a","0.8","e"
"Ohio","135.4","g","0.0","","698.5","a","1.7","a","11.7","e"
"Oklahoma","35.5","g","0.0","","206.1","a","2.4","a","4.0","e"
"Oregon","59.5","g","0.0","","251.6","a","2.7","a","4.2","e"
"Pennsylvania","153.9","g","0.0","","813.5","a","2.3","a","12.8","e"
"Rhode Island","13.5","g","0.0","","63.5","a","2.7","a","1.1","e"
"South Carolina","53.8","g","0.0","","246.3","a","3.0","a","5.1","e"
"South Dakota","8.4","g","0.0","","53.3","a","0.7","a","0.9","e"
"Tennessee","64.5","g","0.0","","380.1","a","2.2","a","6.8","e"
"Texas","279.4","g","0.0","","1,887.0","a","4.4","a","29.0","e"
"All states combined","3,960.5","g","0.0","","21,427.7","a","2.3","a","328.2","e"
"Utah","34.6","g","0.0","","188.5","a","3.8","a","3.2","e"
"Vermont","8.8","g","0.0","","34.8","a","2.5","a","0.6","e"
"Virginia","89.6","g","0.0","","554.2","a","1.9","a","8.5","e"
"Washington","101.3","g","0.0","","599.6","a","3.8","a","7.6","e"
"West Virginia","18.6","g","0.0","","78.2","a","1.0","a","1.8","e"
"Wisconsin","65.4","g","0.0","","347.3","a","1.4","a","5.8","e"
"Wyoming","9.9","g","0.0","","39.6","a","3.3","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
"g - 'guesstimated' projection by usgovernmentspending.com"
